200001010101,1.00.4
200001010102,1.47.4
200001010103,1.10.6
200001010104,1.01.1
200001010105,1.11.2
200001010106,1.00.2
200001010107,0.59.6
200001010108,1.09.5
200001010109,2.42.9
200001010110,2.02.1
200001010111,1.09.4
200001010112,1.46.1
200001010201,1.48.3
200001010202,1.00.9
200001010203,1.47.7
200001010204,1.51.4
200001010205,0.58.5
200001010206,1.52.7
200001010207,0.59.5
200001010208,1.46.7
200001010209,1.10.2
200001010210,1.45.4
200001010211,0.57.0
200001010212,2.02.7
200001010301,1.11.0
200001010302,1.00.9
200001010303,1.48.3
200001010304,2.04.0
200001010305,0.58.5
200001010306,0.59.2
200001010307,2.34.6
200001010308,1.47.1
200001010309,2.42.7
200001010310,1.50.0
200001010311,1.45.1
200001010312,0.59.9
200001010401,1.47.9
200001010402,1.00.8
200001010403,1.10.6
200001010404,1.01.3
200001010405,1.11.6
200001010406,0.59.9
200001010407,1.29.3
200001010408,1.10.1
200001010409,1.29.2
200001010410,0.59.0
200001010411,1.46.7
200001010412,1.46.7
200001010501,1.47.6
200001010502,1.00.4
200001010503,1.47.7
200001010504,1.50.0
200001010505,1.11.2
200001010506,1.00.0
200001010507,1.46.6
200001010508,2.41.2
200001010509,1.29.6
200001010510,1.09.9
200001010511,1.48.5
200001010512,1.47.1
200001010601,1.01.0
200001010602,1.47.8
200001010603,1.00.5
200001010604,1.10.8
200001010605,1.52.4
200001010606,0.59.8
200001010607,1.46.9
200001010608,1.09.7
200001010609,1.09.4
200001010610,1.45.9
200001010611,1.59.6
200001010612,2.02.5
200001010701,1.47.0
200001010702,1.00.2
200001010703,1.47.3
200001010704,1.00.8
200001010705,0.59.5
200001010706,1.11.0
200001010707,1.46.2
200001010708,2.46.3
200001010709,1.51.0
200001010710,1.10.6
200001010711,1.50.0
200001010712,1.46.2
200001010801,1.53.7
200001010802,1.46.5
200001010803,1.00.6
200001010804,2.03.4
200001010805,1.12.0
200001010806,1.00.0
200001010807,1.30.5
200001010808,1.00.2
200001010809,2.44.0
200001010810,1.46.2
200001010811,1.09.6
200001010812,1.47.3
200001020101,0.59.8
200001020102,1.46.7
200001020103,1.00.0
200001020104,1.11.4
200001020105,1.52.2
200001020106,1.45.0
200001020107,0.59.5
200001020108,2.05.0
200001020109,1.50.6
200001020110,1.11.1
200001020111,1.43.2
200001020112,1.44.8
200001020201,1.00.6
200001020202,1.47.2
200001020203,1.52.9
200001020204,1.01.5
200001020205,1.12.4
200001020206,1.11.6
200001020207,0.59.8
200001020208,1.11.5
200001020209,2.44.8
200001020210,1.44.8
200001020211,2.04.1
200001020212,1.45.8
200001020301,1.48.6
200001020302,1.00.7
200001020303,1.48.9
200001020304,1.52.3
200001020305,1.12.4
200001020306,0.58.2
200001020307,1.00.0
200001020308,1.11.2
200001020309,1.49.9
200001020310,1.46.9
200001020311,1.50.1
200001020312,1.47.2
200001020401,1.00.9
200001020402,1.00.2
200001020403,1.46.9
200001020404,2.06.1
200001020405,1.12.2
200001020406,0.59.6
200001020407,0.59.8
200001020408,2.05.2
200001020409,1.11.7
200001020410,0.59.3
200001020411,2.44.9
200001020412,1.46.6
200001020501,1.12.9
200001020502,1.48.8
200001020503,2.05.1
200001020504,1.00.6
200001020505,1.52.6
200001020506,1.00.6
200001020507,1.00.0
200001020508,1.11.3
200001020509,1.46.5
200001020510,2.04.0
200001020511,1.10.8
200001020512,1.46.6
200001020601,1.00.7
200001020602,1.53.1
200001020603,1.48.3
200001020604,1.12.0
200001020605,1.11.4
200001020606,0.58.6
200001020607,1.00.0
200001020608,1.51.1
200001020609,1.45.6
200001020610,1.52.2
200001020611,1.45.9
200001020612,1.47.3
200001020701,1.51.3
200001020702,1.01.1
200001020703,1.47.7
200001020704,1.11.6
200001020705,1.01.6
200001020706,1.46.7
200001020707,0.59.4
200001020708,1.46.5
200001020709,1.50.0
200001020710,2.02.5
200001020711,1.49.4
200001020712,1.10.8
200001020801,1.47.8
200001020802,1.00.2
200001020803,1.47.8
200001020804,2.04.9
200001020805,1.12.9
200001020806,0.58.5
200001020807,0.59.7
200001020808,1.46.6
200001020809,1.11.9
200001020810,2.04.8
200001020811,1.12.4
200001020812,1.46.3
200002010101,1.48.7
200002010102,1.00.8
200002010103,1.49.0
200002010104,1.11.1
200002010105,1.01.3
200002010106,0.58.3
200002010107,2.40.8
200002010108,1.50.2
200002010109,1.47.4
200002010110,2.02.7
200002010111,1.09.6
200002010112,1.00.3
200002010201,1.01.0
200002010202,1.49.1
200002010203,1.01.0
200002010204,2.02.8
200002010205,1.11.4
200002010206,1.48.0
200002010207,1.10.5
200002010208,1.00.1
200002010209,2.01.6
200002010210,1.10.4
200002010211,2.01.1
200002010212,1.48.1
200002010301,1.00.8
200002010302,1.49.1
200002010303,1.00.8
200002010304,1.11.1
200002010305,2.04.6
200002010306,0.58.7
200002010307,1.48.0
200002010308,0.57.7
200002010309,1.00.1
200002010310,1.49.8
200002010311,1.10.1
200002010312,1.48.0
200002010401,1.00.5
200002010402,1.47.7
200002010403,1.51.2
200002010404,1.11.0
200002010405,1.01.0
200002010406,1.11.7
200002010407,1.00.1
200002010408,2.03.2
200002010409,2.02.8
200002010410,1.10.0
200002010411,1.46.4
200002010412,1.48.1
200002010501,1.49.0
200002010502,1.01.5
200002010503,1.49.0
200002010504,1.11.3
200002010505,1.51.1
200002010506,0.58.9
200002010507,1.00.9
200002010508,0.57.9
200002010509,1.47.8
200002010510,1.50.3
200002010511,1.50.2
200002010512,1.48.0
200002010601,1.49.1
200002010602,1.01.2
200002010603,1.49.8
200002010604,1.11.5
200002010605,1.11.5
200002010606,1.10.7
200002010607,1.00.9
200002010608,2.01.9
200002010609,2.43.5
200002010610,1.10.6
200002010611,1.46.1
200002010612,1.48.1
200002010701,1.49.0
200002010702,1.00.5
200002010703,1.49.1
200002010704,2.03.9
200002010705,1.01.3
200002010706,1.11.8
200002010707,1.00.0
200002010708,1.49.6
200002010709,1.10.6
200002010710,2.03.3
200002010711,1.10.5
200002010712,1.48.0
200002010801,1.01.0
200002010802,1.48.4
200002010803,1.11.0
200002010804,1.51.0
200002010805,1.11.8
200002010806,1.47.6
200002010807,1.00.0
200002010808,1.10.3
200002010809,2.42.4
200002010810,1.46.4
200002010811,1.09.3
200002010812,1.47.7
200002020101,1.49.3
200002020102,1.01.0
200002020103,1.49.1
200002020104,1.11.4
200002020105,1.01.8
200002020106,0.59.4
200002020107,1.00.3
200002020108,1.51.1
200002020109,2.03.7
200002020110,1.11.6
200002020111,2.02.8
200002020112,1.46.6
200002020201,1.01.0
200002020202,1.47.8
200002020203,1.01.0
200002020204,1.52.9
200002020205,1.12.9
200002020206,1.47.5
200002020207,0.59.0
200002020208,1.51.5
200002020209,1.47.2
200002020210,1.11.0
200002020211,1.49.8
200002020212,1.00.2
200002020301,1.11.6
200002020302,1.49.1
200002020303,1.01.2
200002020304,1.49.2
200002020305,2.03.5
200002020306,0.58.7
200002020307,1.00.4
200002020308,1.10.3
200002020309,1.10.1
200002020310,2.46.0
200002020311,1.46.4
200002020312,1.47.5
200002020401,1.01.6
200002020402,1.48.6
200002020403,1.01.1
200002020404,1.10.6
200002020405,1.11.6
200002020406,1.47.6
200002020407,1.00.4
200002020408,2.05.2
200002020409,1.49.5
200002020410,1.49.3
200002020411,1.09.3
200002020412,1.48.0
200002020501,0.59.8
